id,tide,year
78,-20.0,1989
78,7.0,1990
78,-1.0,1991
78,9.0,1992
78,-8.0,1993
78,-39.0,1994
78,-59.0,1995
78,-89.0,1996
78,-101.0,1997
78,-87.0,1998
78,-87.0,1999
78,-91.0,2000
78,-65.0,2001
78,-71.0,2002
78,-91.0,2003
78,-86.0,2004
78,-93.0,2005
78,-98.0,2006
78,-69.0,2007
78,-50.0,2008
78,-70.0,2009
78,-89.0,2010
78,-81.0,2011
78,-94.0,2012
78,-123.0,2013
78,-133.0,2014
78,-104.0,2015
79,0.0,1985
79,-14.0,1986
79,-42.0,1987
79,-69.0,1988
79,-33.0,1989
79,-2.0,1990
79,-1.0,1991
79,19.0,1992
79,5.0,1993
79,-34.0,1994
79,-52.0,1995
79,-98.0,1996
79,-123.0,1997
79,-120.0,1998
79,-122.0,1999
79,-128.0,2000
79,-106.0,2001
79,-116.0,2002
79,-134.0,2003
79,-131.0,2004
79,-136.0,2005
79,-138.0,2006
79,-107.0,2007
79,-93.0,2008
79,-119.0,2009
79,-161.0,2010
79,-150.0,2011
79,-173.0,2012
79,-204.0,2013
79,-214.0,2014
79,-167.0,2015
80,0.0,1985
80,-12.0,1986
80,-31.0,1987
80,-30.0,1988
80,-8.0,1989
80,27.0,1990
80,32.0,1991
80,43.0,1992
80,22.0,1993
80,24.0,1994
80,-4.0,1995
80,-29.0,1996
80,-33.0,1997
80,-16.0,1998
80,-14.0,1999
80,-3.0,2000
80,29.0,2001
80,33.0,2002
80,22.0,2003
80,23.0,2004
80,13.0,2005
80,21.0,2006
80,38.0,2007
80,58.0,2008
80,47.0,2009
80,34.0,2010
80,45.0,2011
80,38.0,2012
81,0.0,1985
81,-10.0,1986
81,-13.0,1987
81,-14.0,1988
81,7.0,1989
81,14.0,1990
81,10.0,1991
81,15.0,1992
81,8.0,1993
81,-6.0,1994
81,-4.0,1995
81,-7.0,1996
81,-7.0,1997
81,2.0,1998
81,6.0,1999
81,1.0,2000
81,16.0,2001
81,29.0,2002
81,27.0,2003
81,31.0,2004
81,35.0,2005
81,31.0,2006
81,38.0,2007
81,46.0,2008
81,45.0,2009
81,47.0,2010
81,51.0,2011
81,40.0,2012
82,0.0,1985
82,-13.0,1986
82,-21.0,1987
82,-30.0,1988
82,-7.0,1989
82,6.0,1990
82,-13.0,1991
82,8.0,1992
82,0.0,1993
82,-17.0,1994
82,-21.0,1995
82,-16.0,1996
82,-24.0,1997
82,-8.0,1998
82,-3.0,1999
82,-2.0,2000
82,28.0,2001
82,34.0,2002
82,24.0,2003
82,40.0,2004
82,41.0,2005
82,26.0,2006
82,35.0,2007
82,44.0,2008
82,21.0,2009
82,-12.0,2010
82,14.0,2011
82,-2.0,2012
88,0.0,1985
88,-18.0,1986
88,-42.0,1987
88,-68.0,1988
88,-35.0,1989
88,-3.0,1990
88,-14.0,1991
88,-1.0,1992
88,-17.0,1993
88,-61.0,1994
88,-92.0,1995
88,-133.0,1996
88,-156.0,1997
88,-152.0,1998
88,-154.0,1999
88,-154.0,2000
88,-129.0,2001
88,-140.0,2002
88,-167.0,2003
88,-168.0,2004
88,-182.0,2005
88,-187.0,2006
88,-160.0,2007
88,-146.0,2008
88,-172.0,2009
88,-209.0,2010
88,-200.0,2011
88,-219.0,2012
88,-251.0,2013
88,-263.0,2014
88,-223.0,2015
89,0.0,1985
89,-16.0,1986
89,-5.0,1987
89,5.0,1988
89,9.0,1989
89,29.0,1990
89,21.0,1991
89,23.0,1992
89,5.0,1993
89,-8.0,1994
89,-24.0,1995
89,-37.0,1996
89,-38.0,1997
89,-28.0,1998
89,-25.0,1999
89,-22.0,2000
89,-2.0,2001
89,0.0,2002
89,-1.0,2003
89,0.0,2004
89,-5.0,2005
89,1.0,2006
89,11.0,2007
89,16.0,2008
89,8.0,2009
89,-5.0,2010
89,0.0,2011
89,-9.0,2012
91,0.0,1985
91,-9.0,1986
91,-17.0,1987
91,-19.0,1988
91,1.0,1989
91,9.0,1990
91,1.0,1991
91,0.0,1992
91,-15.0,1993
91,-31.0,1994
91,-39.0,1995
91,-45.0,1996
91,-42.0,1997
91,-21.0,1998
91,-13.0,1999
91,-13.0,2000
91,0.0,2001
91,0.0,2002
91,-17.0,2003
91,-21.0,2004
91,-25.0,2005
91,-22.0,2006
91,-8.0,2007
91,3.0,2008
91,-8.0,2009
91,-17.0,2010
91,-21.0,2011
91,-43.0,2012
95,0.0,1985
95,-4.0,1986
95,-9.0,1987
95,-11.0,1988
95,5.0,1989
95,16.0,1990
95,10.0,1991
95,11.0,1992
95,4.0,1993
95,2.0,1994
95,-5.0,1995
95,-1.0,1996
95,2.0,1997
95,14.0,1998
95,17.0,1999
95,23.0,2000
95,36.0,2001
95,47.0,2002
95,51.0,2003
95,60.0,2004
95,66.0,2005
95,72.0,2006
95,70.0,2007
95,69.0,2008
95,59.0,2009
95,53.0,2010
95,48.0,2011
95,44.0,2012
95,40.0,2013
95,46.0,2014
95,50.0,2015
96,0.0,1985
96,-6.0,1986
96,3.0,1987
96,1.0,1988
96,3.0,1989
96,0.0,1990
96,7.0,1991
96,6.0,1992
96,6.0,1993
96,2.0,1994
96,8.0,1995
96,15.0,1996
96,28.0,1997
96,37.0,1998
96,45.0,1999
96,49.0,2000
96,44.0,2001
96,34.0,2002
96,22.0,2003
96,28.0,2004
96,32.0,2005
96,40.0,2006
96,42.0,2007
96,54.0,2008
96,60.0,2009
96,79.0,2010
96,90.0,2011
96,104.0,2012
96,114.0,2013
98,0.0,1985
98,-9.0,1986
98,-11.0,1987
98,-12.0,1988
98,9.0,1989
98,21.0,1990
98,21.0,1991
98,19.0,1992
98,5.0,1993
98,-13.0,1994
98,-13.0,1995
98,-27.0,1996
98,-22.0,1997
98,1.0,1998
98,8.0,1999
98,1.0,2000
98,24.0,2001
98,32.0,2002
98,22.0,2003
98,28.0,2004
98,31.0,2005
98,28.0,2006
98,38.0,2007
98,47.0,2008
98,44.0,2009
98,42.0,2010
98,50.0,2011
98,39.0,2012
111,0.0,1985
111,-6.0,1986
111,-9.0,1987
111,0.0,1988
111,3.0,1989
111,-5.0,1990
111,-3.0,1991
111,6.0,1992
111,-20.0,1993
111,-39.0,1994
111,-30.0,1995
111,-6.0,1996
111,-5.0,1997
111,14.0,1998
111,52.0,1999
111,73.0,2000
111,65.0,2001
111,67.0,2002
111,67.0,2003
111,40.0,2004
111,22.0,2005
111,16.0,2006
111,29.0,2007
111,52.0,2008
111,65.0,2009
111,72.0,2010
111,107.0,2011
111,131.0,2012
111,138.0,2013
111,141.0,2014
111,139.0,2015
112,0.0,1985
112,19.0,1986
112,27.0,1987
112,12.0,1988
112,4.0,1989
112,2.0,1990
112,13.0,1991
112,24.0,1992
112,38.0,1993
112,67.0,1994
112,79.0,1995
112,47.0,1996
112,47.0,1997
112,44.0,1998
112,39.0,1999
112,34.0,2000
112,57.0,2001
112,55.0,2002
112,55.0,2003
112,41.0,2004
112,50.0,2005
112,44.0,2006
112,47.0,2007
112,48.0,2008
112,56.0,2009
112,43.0,2010
112,42.0,2011
112,43.0,2012
112,53.0,2013
112,68.0,2014
112,93.0,2015
113,0.0,1985
113,-17.0,1986
113,-55.0,1987
113,-55.0,1988
113,-32.0,1989
113,-14.0,1990
113,-10.0,1991
113,-3.0,1992
113,-7.0,1993
113,-16.0,1994
113,-17.0,1995
113,-20.0,1996
113,-15.0,1997
113,-1.0,1998
113,5.0,1999
113,2.0,2000
113,17.0,2001
113,19.0,2002
113,8.0,2003
113,5.0,2004
113,1.0,2005
113,-8.0,2006
113,4.0,2007
113,13.0,2008
113,12.0,2009
113,15.0,2010
113,25.0,2011
113,14.0,2012
118,0.0,1985
118,-14.0,1986
118,-15.0,1987
118,-32.0,1988
118,10.0,1989
118,38.0,1990
118,39.0,1991
118,52.0,1992
118,50.0,1993
118,20.0,1994
118,10.0,1995
118,-20.0,1996
118,-13.0,1997
118,16.0,1998
118,30.0,1999
118,29.0,2000
118,65.0,2001
118,55.0,2002
118,46.0,2003
118,65.0,2004
118,60.0,2005
118,54.0,2006
118,88.0,2007
118,93.0,2008
118,63.0,2009
118,58.0,2010
118,76.0,2011
119,0.0,1985
119,-14.0,1986
119,-20.0,1987
119,-27.0,1988
119,-1.0,1989
119,2.0,1990
119,-1.0,1991
119,4.0,1992
119,-10.0,1993
119,-28.0,1994
119,-36.0,1995
119,-49.0,1996
119,-50.0,1997
119,-35.0,1998
119,-30.0,1999
119,-31.0,2000
119,-1.0,2001
119,9.0,2002
119,13.0,2003
119,27.0,2004
119,35.0,2005
119,33.0,2006
119,43.0,2007
119,47.0,2008
119,27.0,2009
119,20.0,2010
119,32.0,2011
119,28.0,2012
120,0.0,1985
120,-10.0,1986
120,-2.0,1987
120,-7.0,1988
120,13.0,1989
120,22.0,1990
120,12.0,1991
120,15.0,1992
120,8.0,1993
120,-9.0,1994
120,-6.0,1995
120,-7.0,1996
120,-8.0,1997
120,7.0,1998
120,12.0,1999
120,0.0,2000
120,15.0,2001
120,16.0,2002
120,4.0,2003
120,12.0,2004
120,17.0,2005
120,0.0,2006
120,22.0,2007
120,42.0,2008
120,42.0,2009
120,51.0,2010
120,68.0,2011
120,64.0,2012
126,0.0,1985
126,2.0,1986
126,12.0,1987
126,-64.0,1988
126,-146.0,1989
126,-156.0,1990
126,-220.0,1991
126,-232.0,1992
126,-152.0,1993
126,-99.0,1994
126,-159.0,1995
126,-107.0,1996
126,-33.0,1997
126,-66.0,1998
126,-150.0,1999
126,-149.0,2000
126,-308.0,2001
126,-424.0,2002
126,-512.0,2003
126,-450.0,2004
126,-433.0,2005
126,-302.0,2006
126,-307.0,2007
126,-199.0,2008
126,-174.0,2009
126,-224.0,2010
126,-231.0,2011
126,-253.0,2012
126,-309.0,2013
126,-309.0,2014
126,-283.0,2015
127,0.0,1985
127,2.0,1986
127,-6.0,1987
127,-36.0,1988
127,-48.0,1989
127,-38.0,1990
127,-42.0,1991
127,-34.0,1992
127,-22.0,1993
127,-12.0,1994
127,-2.0,1995
127,5.0,1996
127,12.0,1997
127,23.0,1998
127,25.0,1999
127,16.0,2000
127,8.0,2001
127,-8.0,2002
127,-14.0,2003
127,-12.0,2004
127,-3.0,2005
127,14.0,2006
127,13.0,2007
127,2.0,2008
127,-4.0,2009
127,2.0,2010
127,-6.0,2011
127,6.0,2012
127,2.0,2013
127,20.0,2014
127,26.0,2015
130,0.0,1985
130,-5.0,1986
130,3.0,1987
130,6.0,1988
130,11.0,1989
130,27.0,1990
130,41.0,1991
130,46.0,1992
130,47.0,1993
130,54.0,1994
130,57.0,1995
130,51.0,1996
130,49.0,1997
130,54.0,1998
130,65.0,1999
130,74.0,2000
130,85.0,2001
130,96.0,2002
130,107.0,2003
130,115.0,2004
130,115.0,2005
130,115.0,2006
130,118.0,2007
130,122.0,2008
130,121.0,2009
130,131.0,2010
130,147.0,2011
130,156.0,2012
130,163.0,2013
130,159.0,2014
130,153.0,2015
131,0.0,1985
131,-2.0,1986
